538,104423923,270,26065078
Minnesota,MN,10,1173975
Missouri,MO,11,1195636
Montana,MT,3,205292
Nevada,NV,4,253160
New Hampshire,NH,4,268608
New Jersey,NJ,15,1671798
New Mexico,NM,5,284994
New York,NY,33,3463463
North Carolina,NC,14,1305926
North Dakota,ND,3,154067
Ohio,OH,21,2469983
Oklahoma,OK,8,695180
Oregon,OR,7,731322
Pennsylvania,PA,23,2479906
Rhode Island,RI,4,226739
South Carolina,SC,8,601264
South Dakota,SD,3,168128
Tennessee,TN,11,991320
Texas,TX,32,3077010
Utah,UT,5,372000
Vermont,VT,3,144851
Virginia,VA,13,1279333
Washington,WA,11,1143783
West Virginia,WV,5,341839
Wisconsin,WI,11,1265558
Wyoming,WY,3,99943
